Namespace,Pod Name,Container Name,SP HttpGet,SP FailureThreshold,SP InitialDelaySeconds,SP PeriodSeconds,SP SuccessThreshold,SP TimeoutSeconds,LP HttpGet,LP FailureThreshold,LP InitialDelaySeconds,LP PeriodSeconds,LP SuccessThreshold,LP TimeoutSeconds,RP HttpGet,RP FailureThreshold,RP InitialDelaySeconds,RP PeriodSeconds,RP SuccessThreshold,RP TimeoutSeconds
argo-rollouts,argo-rollouts-8674d46f58-dqqs5,argo-rollouts, , , , , , ,/healthz,3,30,20,1,10,/metrics,3,15,5,1,4
argo-rollouts,argo-rollouts-8674d46f58-kj7gv,argo-rollouts, , , , , , ,/healthz,3,30,20,1,10,/metrics,3,15,5,1,4
argocd-tenant,argocd-argocd-tenant-application-controller-0,application-controller, , , , , , , , , , , , ,/healthz,3,10,10,1,1
argocd-tenant,argocd-argocd-tenant-application-controller-1,application-controller, , , , , , , , , , , , ,/healthz,3,10,10,1,1
argocd-tenant,argocd-argocd-tenant-repo-server-56cc7f5c86-9zgqw,repo-server, , , , , , ,/healthz?full=true,3,10,10,1,1,/healthz,3,10,10,1,1
argocd-tenant,argocd-argocd-tenant-server-779d965ffc-gnm4c,server, , , , , , ,/healthz?full=true,3,10,10,1,1,/healthz,3,10,10,1,1
argocd-tenant,argocd-argocdimageupdater-5d757949f9-qxmfd,argocdimageupdater, , , , , , ,/healthz,3,3,30,1,1,/healthz,3,3,30,1,1
argocd-tenant,argocd-redis-ha-haproxy-689b8fc679-7zb9v,haproxy, , , , , , ,/healthz,3,5,3,1,1,/healthz,3,5,3,1,1
argocd-tenant,argocd-redis-ha-haproxy-689b8fc679-8kfwm,haproxy, , , , , , ,/healthz,3,5,3,1,1,/healthz,3,5,3,1,1
argocd-tenant,argocd-redis-ha-haproxy-689b8fc679-p2rq4,haproxy, , , , , , ,/healthz,3,5,3,1,1,/healthz,3,5,3,1,1
argocd-tenant,argocd-redis-ha-server-0,redis, , , , , , ,"['sh', '-c', '/health/redis_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/redis_readiness.sh']",5,30,15,1,15
argocd-tenant,argocd-redis-ha-server-0,sentinel, , , , , , ,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,3,15
argocd-tenant,argocd-redis-ha-server-1,redis, , , , , , ,"['sh', '-c', '/health/redis_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/redis_readiness.sh']",5,30,15,1,15
argocd-tenant,argocd-redis-ha-server-1,sentinel, , , , , , ,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,1,15,"['sh', '-c', '/health/sentinel_liveness.sh']",5,30,15,3,15
